totalPop1975;maxPop1975;minPop1975;moran1975;avgDist1975;entropy1975;alpha1975;alphaRSquared1975;totalPop1990;maxPop1990;minPop1990;moran1990;avgDist1990;entropy1990;alpha1990;alphaRSquared1990;urbFromScratch1990;totalPop2000;maxPop2000;minPop2000;moran2000;avgDist2000;entropy2000;alpha2000;alphaRSquared2000;urbFromScratch2000;totalPop2015;maxPop2015;minPop2015;moran2015;avgDist2015;entropy2015;alpha2015;alphaRSquared2015;urbFromScratch2015;width;height;water;areaid
23055036.2592196;94731.3359375;0;0.165758328037592;0.735952278435007;0.776343134993961;-1.67858230074258;0.780581029176191;37238084.0762001;97250.59375;0;0.249256087216999;0.728785002986247;0.821388430444919;-1.70123007655041;0.748132028578367;6986;48269410.2922367;109444.3203125;0;0.275321683463015;0.724741046139347;0.833534236359179;-1.70893506542519;0.729925457197611;1655;66022941.9594194;128318.0625;0;0.306552019624926;0.715038096560427;0.844374139666843;-1.6974078842947;0.722118391259533;2335;248;167;0.0840737879080549;1
16605201.4293488;87012.2265625;0;0.264311829391974;0.699577343791169;0.75417981392812;-1.64579364593184;0.710148267081591;25785320.017011;36451.76171875;0;0.416675691098836;0.72150948082698;0.805546144605076;-1.5790613611536;0.687291269590181;3916;31937908.7483332;36997.21875;0;0.44997506883125;0.718849060008489;0.816697573342477;-1.63583291592379;0.680457621811934;1374;41598453.2612338;28178.810546875;0;0.489623434089275;0.716704570333516;0.827337921990178;-1.67699071090609;0.677883242365964;1457;218;177;0.255792256258747;2
30700272.2183314;22423.34375;0;0.494446864796118;0.546249584366986;0.835500355259517;-1.68454557426913;0.660845590961984;36528465.4906363;17905.638671875;0;0.616324323870266;0.530634652912143;0.857277490314388;-1.61264889287927;0.661130248000294;3616;39461258.3954819;20126.53515625;0;0.626821879114661;0.521242476413566;0.857564404041151;-1.60790664522862;0.666531356433059;435;42683288.21689;23028.126953125;0;0.638400071490357;0.50691936493564;0.85625010750519;-1.60928497621625;0.672240569033147;346;209;173;0.226373869513511;3
14836700.0339607;163148.234375;0;0.238438209457971;0.557995042329095;0.725209178433802;-1.88495975607111;0.75199640460988;22312093.9913736;141544.796875;0;0.313788412519504;0.564598828139779;0.77185299156357;-1.89200232398932;0.707384168104015;1444;28485105.3690362;123365.265625;0;0.357821015647672;0.563008352708119;0.789060577507735;-1.87371405840263;0.707940427392758;815;38873761.1483065;115894.59375;0;0.393282686189073;0.556173196477017;0.805413110526837;-1.89497455845008;0.708386863515737;1083;119;137;0.0311599092191621;4
7675429.7435007;82172.390625;0;0.131832306643565;0.710900091009174;0.755588149255599;-1.6080873230151;0.716838669765623;14141927.7977151;44164.3515625;0;0.271181239725557;0.696572501682;0.81958204207279;-1.57177172483282;0.744316735439954;4221;19686716.2053454;64530.7421875;0;0.318488016143781;0.685535873163613;0.829460456740233;-1.59853672258198;0.734464018026196;726;30061438.5533856;104377.2421875;0;0.353288554662916;0.671698824017336;0.841572484379429;-1.54716732080148;0.716191460761053;838;160;105;0.287440476190476;5
13212616.6232131;240746;0;0.0290945738284784;0.975699275091272;0.672063411379158;-1.51511514582978;0.877662445273548;21424544.6752956;152834.890625;0;0.0912287785697117;0.99065189312338;0.746699443604974;-1.57431221969663;0.775831260978826;3144;28587131.3863664;141285.609375;0;0.14543151732163;0.986868508633098;0.778276526738939;-1.52797916519575;0.78931731297168;1814;40059990.0681787;197810.203125;0;0.239198673451261;0.979541897822829;0.822997906620596;-1.51102474743654;0.780871013534667;4339;113;165;0.0296057924376508;6
11701945.7319782;66027.171875;0;0.448001146554296;0.466488386705788;0.716935500333149;-2.10191120606662;0.734801306920302;14400393.4902286;57232.25390625;0;0.477822015957793;0.529180800358345;0.743009829580622;-2.03828337225732;0.717225379205249;300;16224062.442631;54130.4765625;0;0.485122481187894;0.570082331294694;0.75516824415618;-1.98399388765776;0.704079050862977;112;18532392.2131373;45662.99609375;0;0.487710538386497;0.627305774442738;0.771488593592258;-1.87605660598301;0.683028520599362;142;77;79;0.309879993424297;7
6722161.93994498;50770;0;0.334312165354273;0.498135203968803;0.756585060101961;-2.01684600600748;0.812837177487616;15736873.7836377;102222;0;0.367637910816858;0.524957615474762;0.776016858207199;-2.06407362705039;0.756606368667561;703;21611883.7140245;123247;0;0.377308842856458;0.539599943990073;0.784865314848387;-1.80010025837214;0.759757688131355;388;28513287.7015877;127043;0;0.374152437041501;0.557103654078363;0.794012657760467;-1.75296630470435;0.748960833379742;541;107;176;0.263593882752761;8
20888526.5566314;172033.203125;0;0.258448219581017;0.738554583497009;0.768029171950441;-1.56611050408306;0.806215046377939;27132795.3798068;207292.796875;0;0.309929794493838;0.764694077249994;0.802873469400018;-1.56972704696416;0.775971438696774;2460;31463606.1672668;146798.96875;0;0.325292540866503;0.778346752766681;0.817767970242957;-1.55416345169936;0.774238544500547;1011;36081718.652221;173520.59375;0;0.339188682498183;0.791711414180561;0.839913928228845;-1.47966220494755;0.763079556173387;1571;89;163;0.0399117667333012;9
9344464.08815511;107498.4765625;0;0.278300420424936;0.66707027632472;0.685229328565826;-2.29471485206665;0.808789160011372;12796430.162163;118646.96875;0;0.323261921492831;0.707349687508135;0.73122549751627;-2.14322079682204;0.816780538401577;2083;14651118.3611167;114424.140625;0;0.330890740125704;0.730427811479172;0.751491821778682;-2.02660596313565;0.803751641101841;754;17801509.7363947;103099.5234375;0;0.339396748799052;0.755372892725331;0.778554530434196;-1.93683544608497;0.761271912253092;535;138;121;0.235357527847646;10
