1 0.0103258347969642 -0.0860484475566962 expMixture
2 -0.388933767318619 -0.131524497046359 expMixture
3 0.312934799726362 -0.356465473342581 expMixture
4 -0.768577327025654 -0.281590003689584 expMixture
1 0.0103258347969642 -0.0860484475566962 blocks
2 -0.388933767318619 -0.131524497046359 blocks
3 0.312934799726362 -0.356465473342581 blocks
4 -0.768577327025654 -0.281590003689584 blocks
1 0.0103258347969642 -0.0860484475566962 calibration
2 -0.388933767318619 -0.131524497046359 calibration
3 0.312934799726362 -0.356465473342581 calibration
4 -0.768577327025654 -0.281590003689584 calibration
