evolution$generation,expMixtureCenters,expMixtureRadius,expMixtureThreshold,mse,evolution$samples
4194,3,20.0,0.9776277498356135,1.422673357321258,1
4194,3,16.6043844080492,0.9710849008399646,1.422673357321258,1
4194,5,18.077969804619798,0.9918940463601975,1.5267132063323912,3
4194,9,17.039592588559962,0.9898276370751099,1.5505972009216051,9
4194,7,20.0,0.9901828458687176,1.5899425509846072,14
4194,9,19.91545719253073,0.9904586599972207,1.4614119555620229,2
4194,9,15.505495807819228,0.9949807832435003,1.6218930080058018,100
4194,5,18.077966578639987,0.9918940812208799,1.607346540726906,75
4194,10,18.077967426576482,0.9918938761976739,1.5910460207500279,64
4194,4,17.23885999550616,0.9731253375244348,1.422673357321258,1
4194,9,18.70774506599653,0.9909594316334362,1.422673357321258,1
4194,5,19.362555332418026,0.9792843721863767,1.422673357321258,1
4194,10,9.831471953900868,0.9747669106263374,1.422673357321258,1
4194,5,18.249126818705854,0.9909764189017908,1.422673357321258,1
4194,9,18.669505228964837,0.991716787560208,1.422673357321258,1
4194,6,17.933232212597698,0.9867705161299714,1.422673357321258,1
