moran;distanceMean;entropy;slope;rsquared;meanBetweenness;meanPathLength;meanEfficiency;diameter;nodes;totalLength;components;occupation;nodes;links;mode;seed;id
-8.564540313199305E-4;0.9342383235961044;0.8024630338498312;-0.6321480006595609;0.4661960444382712;0.08207971231645193;0.38282792585346637;0.891088289275257;1.5215606331590705;28.0;6.8072992371470855;1.0;0.25;10;20;random;17607;0
8.815104374980363E-4;0.9508936269949085;0.7949678610329792;-0.6250507028122952;0.4471438826260476;0.10317088409871913;0.42979934724407215;0.9074182011697073;1.6441781804400588;21.0;5.692189137137243;1.0;0.25;10;20;random;51181;1
-1.859188876908849E-4;0.9336304443901596;0.7955002255881873;-0.6764143830614111;0.4439793040176329;0.12345432788193061;0.35571245666035883;0.9284325511269829;1.0615691155913813;16.0;3.4566770277488623;1.0;0.25;10;20;random;77501;2
-6.750479730757146E-4;0.9306641700403115;0.8039098579479821;-0.6885711293284398;0.4227146721175034;0.09776357827476038;0.37875893929823234;0.899761689798271;1.116669092056803;19.0;5.694825495056445;1.0;0.25;10;20;random;18312;3
-0.0017325567863177693;0.9236943680365899;0.8032707522923457;-0.6724268189615971;0.44396932787675863;0.08826912018401378;0.40363946632494757;0.9183120440107327;1.0457326898458041;23.0;6.313894537266071;1.0;0.25;10;20;random;17874;4
-2.3208935108326014E-4;0.9166314323611683;0.7991033312981357;-0.6615659469427362;0.3739546430981362;0.07089909134385454;0.4339736518944208;0.8816770382064135;1.0739261235964441;30.0;7.60515136662479;1.0;0.25;10;20;random;89627;5
-0.0012264191395636966;0.9362671261758002;0.8112081321803104;-0.637271740918801;0.42987213211796566;0.10415335463258787;0.36580065191770006;0.907707206542498;1.064578810727484;19.0;5.511689828527041;1.0;0.25;10;20;random;62978;6
-8.079443284185095E-4;0.9451904690641666;0.7906481225080444;-0.6657690942048601;0.4525121492790127;0.14216944801026957;0.4957166462231212;0.8947974807476021;1.2097881665009462;14.0;4.459322372586387;1.0;0.25;10;20;random;26367;7
-4.941021664886066E-4;0.9324795662319547;0.7911829121416044;-0.6964418452195289;0.4054989220382562;0.08203153648698204;0.47244090381376963;0.8843298482234071;1.366374954353565;26.0;7.863437107226657;1.0;0.25;10;20;random;12495;8
-7.803100220466521E-4;0.925461833221653;0.8090693593487219;-0.6464999170476559;0.3652580532113111;0.0836007130124777;0.3688051162373203;0.9265901037833115;1.0516551520564565;25.0;5.832976266907534;1.0;0.25;10;20;random;1400;9
